entity,iso3,year,population
"Korea, Rep.",KOR,2009,49307835
"Korea, Rep.",KOR,2010,49554112
"Korea, Rep.",KOR,2011,49936638
"Korea, Rep.",KOR,2012,50199853
"Korea, Rep.",KOR,2013,50428893
"Korea, Rep.",KOR,2014,50746659
"Korea, Rep.",KOR,2015,51014947
"Korea, Rep.",KOR,2016,51217803
"Korea, Rep.",KOR,2017,51361911
"Korea, Rep.",KOR,2018,51585058
"Korea, Rep.",KOR,2019,51764822
"Korea, Rep.",KOR,2020,51836239
"Korea, Rep.",KOR,2021,51769539
"Korea, Rep.",KOR,2022,51672569
"Korea, Rep.",KOR,2023,51712619
"Korea, Rep.",KOR,2024,51751065
"Korea, Rep.",KOR,2025,51684564
Mexico,MEX,1960,36724615
Mexico,MEX,1961,37890118
Mexico,MEX,1962,39129200
Mexico,MEX,1963,40424065
Mexico,MEX,1964,41772049
Mexico,MEX,1965,43174477
Mexico,MEX,1966,44629106
Mexico,MEX,1967,46129608
Mexico,MEX,1968,47668303
Mexico,MEX,1969,49233194
Mexico,MEX,1970,50814953
Mexico,MEX,1971,52412558
Mexico,MEX,1972,54030168
Mexico,MEX,1973,55667284
Mexico,MEX,1974,57320149
Mexico,MEX,1975,58982400
Mexico,MEX,1976,60645512
Mexico,MEX,1977,62308493
Mexico,MEX,1978,63979046
Mexico,MEX,1979,65648865
Mexico,MEX,1980,67300334
Mexico,MEX,1981,68892108
Mexico,MEX,1982,70433260
Mexico,MEX,1983,71971240
Mexico,MEX,1984,73506846
Mexico,MEX,1985,75043414
Mexico,MEX,1986,76585637
Mexico,MEX,1987,78136651
Mexico,MEX,1988,79695531
Mexico,MEX,1989,81247182
Mexico,MEX,1990,82820170
Mexico,MEX,1991,84430572
Mexico,MEX,1992,86044809
Mexico,MEX,1993,87653807
Mexico,MEX,1994,89259205
Mexico,MEX,1995,90862455
Mexico,MEX,1996,92452702
Mexico,MEX,1997,94021207
Mexico,MEX,1998,95575245
Mexico,MEX,1999,97115707
Mexico,MEX,2000,98625552
Mexico,MEX,2001,100099099
Mexico,MEX,2002,101548624
Mexico,MEX,2003,102978515
Mexico,MEX,2004,104394131
Mexico,MEX,2005,105811504
Mexico,MEX,2006,107253666
Mexico,MEX,2007,108774360
Mexico,MEX,2008,110374288
Mexico,MEX,2009,111999721
Mexico,MEX,2010,113623895
Mexico,MEX,2011,115243504
Mexico,MEX,2012,116818208
Mexico,MEX,2013,118343573
Mexico,MEX,2014,119784261
Mexico,MEX,2015,121072306
Mexico,MEX,2016,122251351
Mexico,MEX,2017,123400057
Mexico,MEX,2018,124573711
Mexico,MEX,2019,125762982
Mexico,MEX,2020,126799054
Mexico,MEX,2021,127648148
Mexico,MEX,2022,128613117
Mexico,MEX,2023,129739759
Mexico,MEX,2024,130861007
Mexico,MEX,2025,131946900
Russian Federation,RUS,1960,119897000
Russian Federation,RUS,1961,121236000
Russian Federation,RUS,1962,122591000
Russian Federation,RUS,1963,123960000
Russian Federation,RUS,1964,125345000
Russian Federation,RUS,1965,126745000
Russian Federation,RUS,1966,127468000
Russian Federation,RUS,1967,128196000
Russian Federation,RUS,1968,128928000
Russian Federation,RUS,1969,129664000
Russian Federation,RUS,1970,130404000
Russian Federation,RUS,1971,131155000
Russian Federation,RUS,1972,131909000
Russian Federation,RUS,1973,132669000
Russian Federation,RUS,1974,133432000
Russian Federation,RUS,1975,134200000
Russian Federation,RUS,1976,135147000
Russian Federation,RUS,1977,136100000
Russian Federation,RUS,1978,137060000
Russian Federation,RUS,1979,138027000
Russian Federation,RUS,1980,139010000
Russian Federation,RUS,1981,139941000
Russian Federation,RUS,1982,140823000
Russian Federation,RUS,1983,141668000
Russian Federation,RUS,1984,142745000
Russian Federation,RUS,1985,143858000
Russian Federation,RUS,1986,144894000
Russian Federation,RUS,1987,145908000
Russian Federation,RUS,1988,146857000
Russian Federation,RUS,1989,147721000
Russian Federation,RUS,1990,147969406
Russian Federation,RUS,1991,148394216
Russian Federation,RUS,1992,148538197
Russian Federation,RUS,1993,148458777
Russian Federation,RUS,1994,148407912
Russian Federation,RUS,1995,148375787
Russian Federation,RUS,1996,148160129
Russian Federation,RUS,1997,147915361
Russian Federation,RUS,1998,147670784
Russian Federation,RUS,1999,147214776
Russian Federation,RUS,2000,146596869
Russian Federation,RUS,2001,145976482
Russian Federation,RUS,2002,145306497
Russian Federation,RUS,2003,144648618
Russian Federation,RUS,2004,144067316
Russian Federation,RUS,2005,143518814
Russian Federation,RUS,2006,143049637
Russian Federation,RUS,2007,142805114
Russian Federation,RUS,2008,142742366
Russian Federation,RUS,2009,142785348
Russian Federation,RUS,2010,142849468
Russian Federation,RUS,2011,143018195
Russian Federation,RUS,2012,143378447
Russian Federation,RUS,2013,143805638
Russian Federation,RUS,2014,144237223
Russian Federation,RUS,2015,144640716
Russian Federation,RUS,2016,145015460
Russian Federation,RUS,2017,145293260
Russian Federation,RUS,2018,145398106
Russian Federation,RUS,2019,145453291
Russian Federation,RUS,2020,145245148
Russian Federation,RUS,2021,144746762
Russian Federation,RUS,2022,144236933
Russian Federation,RUS,2023,143826130
Russian Federation,RUS,2024,143669648
Russian Federation,RUS,2025,143513328
Saudi Arabia,SAU,1960,2435403
Saudi Arabia,SAU,1961,2526347
Saudi Arabia,SAU,1962,2620910
Saudi Arabia,SAU,1963,2719341
Saudi Arabia,SAU,1964,2821968
Saudi Arabia,SAU,1965,2928771
Saudi Arabia,SAU,1966,3039887
Saudi Arabia,SAU,1967,3157242
Saudi Arabia,SAU,1968,3282711
Saudi Arabia,SAU,1969,3417114
Saudi Arabia,SAU,1970,3562470
Saudi Arabia,SAU,1971,3724031
Saudi Arabia,SAU,1972,3905722
Saudi Arabia,SAU,1973,4106344
Saudi Arabia,SAU,1974,4323632
Saudi Arabia,SAU,1975,4556287
Saudi Arabia,SAU,1976,4807933
Saudi Arabia,SAU,1977,5083048
Saudi Arabia,SAU,1978,5381902
Saudi Arabia,SAU,1979,5703698
Saudi Arabia,SAU,1980,6047997
Saudi Arabia,SAU,1981,6420551
Saudi Arabia,SAU,1982,6824486
Saudi Arabia,SAU,1983,7252941
Saudi Arabia,SAU,1984,7697307
Saudi Arabia,SAU,1985,8151779
Saudi Arabia,SAU,1986,8628639
Saudi Arabia,SAU,1987,9130194
Saudi Arabia,SAU,1988,9629165
Saudi Arabia,SAU,1989,10128394
Saudi Arabia,SAU,1990,10640691
Saudi Arabia,SAU,1991,11160744
Saudi Arabia,SAU,1992,11686676
Saudi Arabia,SAU,1993,12215862
Saudi Arabia,SAU,1994,12750040
Saudi Arabia,SAU,1995,13289245
Saudi Arabia,SAU,1996,13831009
Saudi Arabia,SAU,1997,14374943
Saudi Arabia,SAU,1998,14922185
Saudi Arabia,SAU,1999,15472075
Saudi Arabia,SAU,2000,16177722
Saudi Arabia,SAU,2001,17041397
Saudi Arabia,SAU,2002,17910910
Saudi Arabia,SAU,2003,18786767
Saudi Arabia,SAU,2004,19669480
Saudi Arabia,SAU,2005,20559890
Saudi Arabia,SAU,2006,21459144
Saudi Arabia,SAU,2007,22368313
Saudi Arabia,SAU,2008,23287877
Saudi Arabia,SAU,2009,24217654
Saudi Arabia,SAU,2010,23978487
Saudi Arabia,SAU,2011,25091867
Saudi Arabia,SAU,2012,26168861
Saudi Arabia,SAU,2013,27624004
Saudi Arabia,SAU,2014,28309273
Saudi Arabia,SAU,2015,29816382
Saudi Arabia,SAU,2016,30954198
Saudi Arabia,SAU,2017,30977355
Saudi Arabia,SAU,2018,30196281
Saudi Arabia,SAU,2019,30063799
Saudi Arabia,SAU,2020,31552510
Saudi Arabia,SAU,2021,30784383
Saudi Arabia,SAU,2022,32175224
Saudi Arabia,SAU,2023,33702731
Saudi Arabia,SAU,2024,35300280
Saudi Arabia,SAU,2025,36973555
Turkiye,TUR,1960,28329898
Turkiye,TUR,1961,29119238
Turkiye,TUR,1962,29916147
Turkiye,TUR,1963,30726841
Turkiye,TUR,1964,31543072
Turkiye,TUR,1965,32345220
Turkiye,TUR,1966,33177672
Turkiye,TUR,1967,34050421
Turkiye,TUR,1968,34921684
Turkiye,TUR,1969,35787774
Turkiye,TUR,1970,36638465
Turkiye,TUR,1971,37518611
Turkiye,TUR,1972,38430221
Turkiye,TUR,1973,39329533
Turkiye,TUR,1974,40210234
Turkiye,TUR,1975,41053126
Turkiye,TUR,1976,41899984
Turkiye,TUR,1977,42773298
Turkiye,TUR,1978,43645306
Turkiye,TUR,1979,44510429
Turkiye,TUR,1980,45408815
Turkiye,TUR,1981,46321190
Turkiye,TUR,1982,47322096
Turkiye,TUR,1983,48447410
Turkiye,TUR,1984,49574069
Turkiye,TUR,1985,50687115
Turkiye,TUR,1986,51777772
Turkiye,TUR,1987,52843670
Turkiye,TUR,1988,53909626
Turkiye,TUR,1989,54976723
Turkiye,TUR,1990,56015628
Turkiye,TUR,1991,57009887
Turkiye,TUR,1992,57990118
Turkiye,TUR,1993,58999167
Turkiye,TUR,1994,60033836
Turkiye,TUR,1995,61024503
Turkiye,TUR,1996,61951134
Turkiye,TUR,1997,62852966
Turkiye,TUR,1998,63734383
Turkiye,TUR,1999,64591923
Turkiye,TUR,2000,65425961
Turkiye,TUR,2001,66245128
Turkiye,TUR,2002,67048795
Turkiye,TUR,2003,67831730
Turkiye,TUR,2004,68592617
Turkiye,TUR,2005,69329557
Turkiye,TUR,2006,70045349
Turkiye,TUR,2007,70158112
Turkiye,TUR,2008,71051678
Turkiye,TUR,2009,72039206
Turkiye,TUR,2010,73142150
Turkiye,TUR,2011,74223629
Turkiye,TUR,2012,75175827
Turkiye,TUR,2013,76147624
Turkiye,TUR,2014,77181884
Turkiye,TUR,2015,78218479
Turkiye,TUR,2016,79277962
Turkiye,TUR,2017,80312698
Turkiye,TUR,2018,81407204
Turkiye,TUR,2019,82579440
Turkiye,TUR,2020,83384680
Turkiye,TUR,2021,84147318
Turkiye,TUR,2022,84979913
Turkiye,TUR,2023,85325965
Turkiye,TUR,2024,85518661
Turkiye,TUR,2025,85878556
United States,USA,1960,180671000
United States,USA,1961,183691000
United States,USA,1962,186538000
United States,USA,1963,189242000
United States,USA,1964,191889000
United States,USA,1965,194303000
United States,USA,1966,196560000
United States,USA,1967,198712000
United States,USA,1968,200706000
United States,USA,1969,202677000
United States,USA,1970,205052000
United States,USA,1971,207661000
United States,USA,1972,209896000
United States,USA,1973,211909000
United States,USA,1974,213854000
United States,USA,1975,215973000
United States,USA,1976,218035000
United States,USA,1977,220239000
United States,USA,1978,222585000
United States,USA,1979,225055000
United States,USA,1980,227225000
United States,USA,1981,229466000
United States,USA,1982,231664000
United States,USA,1983,233792000
United States,USA,1984,235825000
United States,USA,1985,237924000
United States,USA,1986,240133000
United States,USA,1987,242289000
United States,USA,1988,244499000
United States,USA,1989,246819000
United States,USA,1990,249623000
United States,USA,1991,252981000
United States,USA,1992,256514000
United States,USA,1993,259919000
United States,USA,1994,263126000
United States,USA,1995,266278000
United States,USA,1996,269394000
United States,USA,1997,272657000
United States,USA,1998,275854000
United States,USA,1999,279040000
United States,USA,2000,282162411
United States,USA,2001,284968955
United States,USA,2002,287625193
United States,USA,2003,290107933
United States,USA,2004,292805298
United States,USA,2005,295516599
United States,USA,2006,298379912
United States,USA,2007,301231207
United States,USA,2008,304093966
United States,USA,2009,306771529
United States,USA,2010,309378227
United States,USA,2011,311839461
United States,USA,2012,314339099
United States,USA,2013,316726282
United States,USA,2014,319257560
United States,USA,2015,321815121
United States,USA,2016,324353340
United States,USA,2017,326608609
United States,USA,2018,328529577
United States,USA,2019,330226227
United States,USA,2020,331578104
United States,USA,2021,332100166
United States,USA,2022,333996304
United States,USA,2023,336755052
United States,USA,2024,340003797
United States,USA,2025,341784857
South Africa,ZAF,1960,16440172
South Africa,ZAF,1961,16908035
South Africa,ZAF,1962,17418522
South Africa,ZAF,1963,17954564
South Africa,ZAF,1964,18511361
South Africa,ZAF,1965,19089380
South Africa,ZAF,1966,19690087
South Africa,ZAF,1967,20314066
South Africa,ZAF,1968,20957287
South Africa,ZAF,1969,21614676
South Africa,ZAF,1970,22279984
South Africa,ZAF,1971,22942143
South Africa,ZAF,1972,23609456
South Africa,ZAF,1973,24294263
South Africa,ZAF,1974,24989108
South Africa,ZAF,1975,25690940
South Africa,ZAF,1976,26395450
South Africa,ZAF,1977,27118952
South Africa,ZAF,1978,27869507
South Africa,ZAF,1979,28634162
South Africa,ZAF,1980,29518857
South Africa,ZAF,1981,30541044
South Africa,ZAF,1982,31615339
South Africa,ZAF,1983,32739304
South Africa,ZAF,1984,33892788
South Africa,ZAF,1985,35042093
South Africa,ZAF,1986,36180515
South Africa,ZAF,1987,37326190
South Africa,ZAF,1988,38480649
South Africa,ZAF,1989,39628575
South Africa,ZAF,1990,40746268
South Africa,ZAF,1991,41687898
South Africa,ZAF,1992,42443509
South Africa,ZAF,1993,43297156
South Africa,ZAF,1994,44004139
South Africa,ZAF,1995,44541554
South Africa,ZAF,1996,45123018
South Africa,ZAF,1997,45666838
South Africa,ZAF,1998,46223880
South Africa,ZAF,1999,46730335
South Africa,ZAF,2000,47159719
South Africa,ZAF,2001,47566800
South Africa,ZAF,2002,48019415
South Africa,ZAF,2003,48500348
South Africa,ZAF,2004,48991421
South Africa,ZAF,2005,49490033
South Africa,ZAF,2006,49998277
South Africa,ZAF,2007,50528584
South Africa,ZAF,2008,51114599
South Africa,ZAF,2009,51728516
South Africa,ZAF,2010,52344051
South Africa,ZAF,2011,52995205
South Africa,ZAF,2012,53782567
South Africa,ZAF,2013,54678791
South Africa,ZAF,2014,55594838
South Africa,ZAF,2015,56723537
South Africa,ZAF,2016,57259551
South Africa,ZAF,2017,57635162
South Africa,ZAF,2018,58613001
South Africa,ZAF,2019,59587885
South Africa,ZAF,2020,60562381
South Africa,ZAF,2021,61502603
South Africa,ZAF,2022,62378410
South Africa,ZAF,2023,63212384
South Africa,ZAF,2024,64007187
South Africa,ZAF,2025,64747319
