entity,iso3,year,life_expectancy_years
"Korea, Rep.",KOR,2021,83.53
"Korea, Rep.",KOR,2022,82.68
"Korea, Rep.",KOR,2023,83.43
"Korea, Rep.",KOR,2024,83.63
Mexico,MEX,1960,53.57
Mexico,MEX,1961,54.42
Mexico,MEX,1962,55.06
Mexico,MEX,1963,55.5
Mexico,MEX,1964,55.92
Mexico,MEX,1965,56.69
Mexico,MEX,1966,57.35
Mexico,MEX,1967,57.96
Mexico,MEX,1968,58.22
Mexico,MEX,1969,58.41
Mexico,MEX,1970,58.89
Mexico,MEX,1971,59.41
Mexico,MEX,1972,60.05
Mexico,MEX,1973,60.52
Mexico,MEX,1974,61.18
Mexico,MEX,1975,61.88
Mexico,MEX,1976,62.48
Mexico,MEX,1977,62.99
Mexico,MEX,1978,63.44
Mexico,MEX,1979,63.86
Mexico,MEX,1980,64.28
Mexico,MEX,1981,64.72
Mexico,MEX,1982,65.26
Mexico,MEX,1983,65.76
Mexico,MEX,1984,66.22
Mexico,MEX,1985,66.78
Mexico,MEX,1986,67.38
Mexico,MEX,1987,67.9
Mexico,MEX,1988,68.3
Mexico,MEX,1989,68.62
Mexico,MEX,1990,69.03
Mexico,MEX,1991,69.37
Mexico,MEX,1992,69.66
Mexico,MEX,1993,69.96
Mexico,MEX,1994,70.3
Mexico,MEX,1995,70.7
Mexico,MEX,1996,71.09
Mexico,MEX,1997,71.47
Mexico,MEX,1998,71.79
Mexico,MEX,1999,72.2
Mexico,MEX,2000,72.56
Mexico,MEX,2001,72.91
Mexico,MEX,2002,73.11
Mexico,MEX,2003,73.31
Mexico,MEX,2004,73.43
Mexico,MEX,2005,73.63
Mexico,MEX,2006,73.75
Mexico,MEX,2007,73.8
Mexico,MEX,2008,73.69
Mexico,MEX,2009,73.63
Mexico,MEX,2010,73.72
Mexico,MEX,2011,73.92
Mexico,MEX,2012,74.13
Mexico,MEX,2013,74.29
Mexico,MEX,2014,74.4
Mexico,MEX,2015,74.43
Mexico,MEX,2016,74.38
Mexico,MEX,2017,74.26
Mexico,MEX,2018,74.3
Mexico,MEX,2019,74.53
Mexico,MEX,2020,70.45
Mexico,MEX,2021,69.75
Mexico,MEX,2022,73.97
Mexico,MEX,2023,75.07
Mexico,MEX,2024,75.26
Russian Federation,RUS,1960,67.53
Russian Federation,RUS,1961,67.78
Russian Federation,RUS,1962,67.7
Russian Federation,RUS,1963,68.27
Russian Federation,RUS,1964,68.71
Russian Federation,RUS,1965,68.51
Russian Federation,RUS,1966,68.59
Russian Federation,RUS,1967,68.43
Russian Federation,RUS,1968,68.32
Russian Federation,RUS,1969,67.91
Russian Federation,RUS,1970,68.13
Russian Federation,RUS,1971,68.38
Russian Federation,RUS,1972,68.31
Russian Federation,RUS,1973,68.29
Russian Federation,RUS,1974,68.32
Russian Federation,RUS,1975,67.72
Russian Federation,RUS,1976,67.49
Russian Federation,RUS,1977,67.38
Russian Federation,RUS,1978,67.39
Russian Federation,RUS,1979,67.11
Russian Federation,RUS,1980,67.03
Russian Federation,RUS,1981,67.26
Russian Federation,RUS,1982,67.81
Russian Federation,RUS,1983,67.65
Russian Federation,RUS,1984,67.2
Russian Federation,RUS,1985,67.86
Russian Federation,RUS,1986,69.39
Russian Federation,RUS,1987,69.44
Russian Federation,RUS,1988,69.46
Russian Federation,RUS,1989,69.17
Russian Federation,RUS,1990,68.89
Russian Federation,RUS,1991,68.47
Russian Federation,RUS,1992,66.87
Russian Federation,RUS,1993,64.94
Russian Federation,RUS,1994,64.47
Russian Federation,RUS,1995,64.69
Russian Federation,RUS,1996,65.85
Russian Federation,RUS,1997,66.7
Russian Federation,RUS,1998,67.03
Russian Federation,RUS,1999,65.98
Russian Federation,RUS,2000,65.48
Russian Federation,RUS,2001,65.38
Russian Federation,RUS,2002,65.13
Russian Federation,RUS,2003,65.03
Russian Federation,RUS,2004,65.47
Russian Federation,RUS,2005,65.53
Russian Federation,RUS,2006,66.73
Russian Federation,RUS,2007,67.59
Russian Federation,RUS,2008,67.95
Russian Federation,RUS,2009,68.68
Russian Federation,RUS,2010,68.84
Russian Federation,RUS,2011,69.68
Russian Federation,RUS,2012,70.07
Russian Federation,RUS,2013,70.58
Russian Federation,RUS,2014,70.74
Russian Federation,RUS,2015,71.18
Russian Federation,RUS,2016,71.65
Russian Federation,RUS,2017,72.45
Russian Federation,RUS,2018,72.66
Russian Federation,RUS,2019,73.08
Russian Federation,RUS,2020,71.34
Russian Federation,RUS,2021,69.9
Russian Federation,RUS,2022,72.55
Russian Federation,RUS,2023,73.25
Russian Federation,RUS,2024,73.44
Saudi Arabia,SAU,1960,45.31
Saudi Arabia,SAU,1961,45.88
Saudi Arabia,SAU,1962,46.47
Saudi Arabia,SAU,1963,47.09
Saudi Arabia,SAU,1964,47.73
Saudi Arabia,SAU,1965,48.44
Saudi Arabia,SAU,1966,49.19
Saudi Arabia,SAU,1967,49.99
Saudi Arabia,SAU,1968,50.86
Saudi Arabia,SAU,1969,51.77
Saudi Arabia,SAU,1970,52.73
Saudi Arabia,SAU,1971,53.73
Saudi Arabia,SAU,1972,54.74
Saudi Arabia,SAU,1973,55.77
Saudi Arabia,SAU,1974,56.78
Saudi Arabia,SAU,1975,57.78
Saudi Arabia,SAU,1976,58.78
Saudi Arabia,SAU,1977,59.75
Saudi Arabia,SAU,1978,60.69
Saudi Arabia,SAU,1979,61.52
Saudi Arabia,SAU,1980,62.44
Saudi Arabia,SAU,1981,63.25
Saudi Arabia,SAU,1982,64.01
Saudi Arabia,SAU,1983,64.72
Saudi Arabia,SAU,1984,65.39
Saudi Arabia,SAU,1985,66.03
Saudi Arabia,SAU,1986,66.65
Saudi Arabia,SAU,1987,67.24
Saudi Arabia,SAU,1988,67.81
Saudi Arabia,SAU,1989,68.36
Saudi Arabia,SAU,1990,68.87
Saudi Arabia,SAU,1991,69.34
Saudi Arabia,SAU,1992,69.8
Saudi Arabia,SAU,1993,70.21
Saudi Arabia,SAU,1994,70.59
Saudi Arabia,SAU,1995,70.94
Saudi Arabia,SAU,1996,71.29
Saudi Arabia,SAU,1997,71.62
Saudi Arabia,SAU,1998,71.96
Saudi Arabia,SAU,1999,72.29
Saudi Arabia,SAU,2000,72.61
Saudi Arabia,SAU,2001,72.95
Saudi Arabia,SAU,2002,73.3
Saudi Arabia,SAU,2003,73.66
Saudi Arabia,SAU,2004,74.03
Saudi Arabia,SAU,2005,74.4
Saudi Arabia,SAU,2006,74.76
Saudi Arabia,SAU,2007,75.07
Saudi Arabia,SAU,2008,75.3
Saudi Arabia,SAU,2009,75.45
Saudi Arabia,SAU,2010,75.62
Saudi Arabia,SAU,2011,75.81
Saudi Arabia,SAU,2012,76.09
Saudi Arabia,SAU,2013,76.52
Saudi Arabia,SAU,2014,77.12
Saudi Arabia,SAU,2015,77.78
Saudi Arabia,SAU,2016,78.35
Saudi Arabia,SAU,2017,78.72
Saudi Arabia,SAU,2018,78.75
Saudi Arabia,SAU,2019,78.31
Saudi Arabia,SAU,2020,77.6
Saudi Arabia,SAU,2021,77.09
Saudi Arabia,SAU,2022,77.31
Saudi Arabia,SAU,2023,78.73
Saudi Arabia,SAU,2024,78.98
Turkiye,TUR,1960,50.8
Turkiye,TUR,1961,51.56
Turkiye,TUR,1962,52.35
Turkiye,TUR,1963,53.12
Turkiye,TUR,1964,53.6
Turkiye,TUR,1965,54.1
Turkiye,TUR,1966,54.57
Turkiye,TUR,1967,55.18
Turkiye,TUR,1968,55.64
Turkiye,TUR,1969,56.18
Turkiye,TUR,1970,56.7
Turkiye,TUR,1971,57.22
Turkiye,TUR,1972,57.97
Turkiye,TUR,1973,58.45
Turkiye,TUR,1974,59.02
Turkiye,TUR,1975,59.51
Turkiye,TUR,1976,60.01
Turkiye,TUR,1977,60.85
Turkiye,TUR,1978,61.61
Turkiye,TUR,1979,62.16
Turkiye,TUR,1980,62.74
Turkiye,TUR,1981,63.19
Turkiye,TUR,1982,63.74
Turkiye,TUR,1983,64.27
Turkiye,TUR,1984,64.81
Turkiye,TUR,1985,65.34
Turkiye,TUR,1986,65.87
Turkiye,TUR,1987,66.38
Turkiye,TUR,1988,66.9
Turkiye,TUR,1989,67.36
Turkiye,TUR,1990,67.83
Turkiye,TUR,1991,68.29
Turkiye,TUR,1992,68.6
Turkiye,TUR,1993,69.02
Turkiye,TUR,1994,69.4
Turkiye,TUR,1995,69.73
Turkiye,TUR,1996,70.25
Turkiye,TUR,1997,70.67
Turkiye,TUR,1998,71.14
Turkiye,TUR,1999,70.75
Turkiye,TUR,2000,71.93
Turkiye,TUR,2001,72.27
Turkiye,TUR,2002,72.61
Turkiye,TUR,2003,72.91
Turkiye,TUR,2004,73.22
Turkiye,TUR,2005,73.51
Turkiye,TUR,2006,73.8
Turkiye,TUR,2007,74.13
Turkiye,TUR,2008,74.38
Turkiye,TUR,2009,74.68
Turkiye,TUR,2010,74.96
Turkiye,TUR,2011,74.82
Turkiye,TUR,2012,75.55
Turkiye,TUR,2013,76.17
Turkiye,TUR,2014,76.45
Turkiye,TUR,2015,76.54
Turkiye,TUR,2016,76.59
Turkiye,TUR,2017,77.04
Turkiye,TUR,2018,77.45
Turkiye,TUR,2019,77.74
Turkiye,TUR,2020,76.53
Turkiye,TUR,2021,75.72
Turkiye,TUR,2022,77.59
Turkiye,TUR,2023,77.16
Turkiye,TUR,2024,77.42
United States,USA,1960,69.77
United States,USA,1961,70.27
United States,USA,1962,70.12
United States,USA,1963,69.92
United States,USA,1964,70.17
United States,USA,1965,70.21
United States,USA,1966,70.21
United States,USA,1967,70.56
United States,USA,1968,69.95
United States,USA,1969,70.51
United States,USA,1970,70.81
United States,USA,1971,71.11
United States,USA,1972,71.16
United States,USA,1973,71.36
United States,USA,1974,71.96
United States,USA,1975,72.6
United States,USA,1976,72.86
United States,USA,1977,73.26
United States,USA,1978,73.36
United States,USA,1979,73.8
United States,USA,1980,73.61
United States,USA,1981,74.01
United States,USA,1982,74.36
United States,USA,1983,74.46
United States,USA,1984,74.56
United States,USA,1985,74.56
United States,USA,1986,74.61
United States,USA,1987,74.77
United States,USA,1988,74.77
United States,USA,1989,75.02
United States,USA,1990,75.21
United States,USA,1991,75.37
United States,USA,1992,75.62
United States,USA,1993,75.42
United States,USA,1994,75.62
United States,USA,1995,75.62
United States,USA,1996,76.03
United States,USA,1997,76.43
United States,USA,1998,76.58
United States,USA,1999,76.58
United States,USA,2000,76.64
United States,USA,2001,76.84
United States,USA,2002,76.94
United States,USA,2003,77.04
United States,USA,2004,77.49
United States,USA,2005,77.49
United States,USA,2006,77.69
United States,USA,2007,77.99
United States,USA,2008,78.04
United States,USA,2009,78.39
United States,USA,2010,78.54
United States,USA,2011,78.64
United States,USA,2012,78.74
United States,USA,2013,78.74
United States,USA,2014,78.84
United States,USA,2015,78.69
United States,USA,2016,78.54
United States,USA,2017,78.54
United States,USA,2018,78.64
United States,USA,2019,78.79
United States,USA,2020,76.98
United States,USA,2021,76.33
United States,USA,2022,77.43
United States,USA,2023,78.39
United States,USA,2024,78.89
South Africa,ZAF,1960,52.58
South Africa,ZAF,1961,53.07
South Africa,ZAF,1962,53.57
South Africa,ZAF,1963,53.9
South Africa,ZAF,1964,54.22
South Africa,ZAF,1965,54.43
South Africa,ZAF,1966,54.73
South Africa,ZAF,1967,54.95
South Africa,ZAF,1968,55.19
South Africa,ZAF,1969,55.44
South Africa,ZAF,1970,55.68
South Africa,ZAF,1971,56.02
South Africa,ZAF,1972,56.38
South Africa,ZAF,1973,56.72
South Africa,ZAF,1974,57.11
South Africa,ZAF,1975,57.59
South Africa,ZAF,1976,58
South Africa,ZAF,1977,58.48
South Africa,ZAF,1978,58.99
South Africa,ZAF,1979,59.47
South Africa,ZAF,1980,59.96
South Africa,ZAF,1981,60.45
South Africa,ZAF,1982,60.94
South Africa,ZAF,1983,61.39
South Africa,ZAF,1984,61.84
South Africa,ZAF,1985,62.2
South Africa,ZAF,1986,62.42
South Africa,ZAF,1987,62.69
South Africa,ZAF,1988,62.9
South Africa,ZAF,1989,63.02
South Africa,ZAF,1990,62.94
South Africa,ZAF,1991,62.98
South Africa,ZAF,1992,62.84
South Africa,ZAF,1993,62.62
South Africa,ZAF,1994,62.07
South Africa,ZAF,1995,61.6
South Africa,ZAF,1996,61.08
South Africa,ZAF,1997,60.54
South Africa,ZAF,1998,59.91
South Africa,ZAF,1999,59.19
South Africa,ZAF,2000,58.37
South Africa,ZAF,2001,57.16
South Africa,ZAF,2002,55.58
South Africa,ZAF,2003,54.24
South Africa,ZAF,2004,53.96
South Africa,ZAF,2005,53.91
South Africa,ZAF,2006,54.22
South Africa,ZAF,2007,54.95
South Africa,ZAF,2008,55.98
South Africa,ZAF,2009,57.41
South Africa,ZAF,2010,58.89
South Africa,ZAF,2011,60.6
South Africa,ZAF,2012,61.74
South Africa,ZAF,2013,62.39
South Africa,ZAF,2014,63.18
South Africa,ZAF,2015,64.05
South Africa,ZAF,2016,64.75
South Africa,ZAF,2017,65.42
South Africa,ZAF,2018,65.73
South Africa,ZAF,2019,66.07
South Africa,ZAF,2020,65.15
South Africa,ZAF,2021,62.01
South Africa,ZAF,2022,65.45
South Africa,ZAF,2023,66.14
South Africa,ZAF,2024,66.31
